,filename,real_stars,simulated_stars
233,./images/procSPECU3.2025-05-30T07:02:39.000.fits,334,221
234,./images/procSPECU1.2024-07-05T02:09:20.320.fits,4401,4124
235,./images/procSPECU3.2019-10-20T01:34:14.920.fits,136,98
236,./images/procTOI-5315.01-S001-R001-C170-I+z.fits,116,83
237,./images/procSPECU2.2023-01-03T02:32:06.480.fits,790,603
238,./images/procSPECU2.2025-07-01T07:10:43.690.fits,458,362
239,./images/procSPECU2.2025-05-21T01:39:49.660.fits,359,291
240,./images/procSp2047+1421-S001-R001-C112-I+z.fits,996,835
241,./images/procSPECU3.2024-04-12T01:53:34.230.fits,2987,2057
242,./images/procSPECU2.2025-08-05T02:10:47.790.fits,517,360
243,./images/procTOI-2015-S001-R001-C265-I+z.fits,77,58
244,./images/procSPECU4.2025-01-07T02:58:55.000.fits,1220,944
245,./images/procSPECU4.2020-02-29T02:41:29.040.fits,6586,4106
246,./images/procSPECU1.2025-01-04T03:02:27.250.fits,498,396
247,./images/procSPECU2.2018-12-17T08:08:41.680.fits,195,143
248,./images/procSPECU1.2023-05-29T09:04:09.360.fits,455,365
249,./images/procSPECU3.2025-05-09T02:15:42.000.fits,310,254
250,./images/procSPECU2.2025-09-15T09:19:48.820.fits,165,142
251,./images/procSp1807+5015-S001-R001-C065-I+z.fits,446,329
252,./images/procSPECU3.2021-06-01T07:38:13.740.fits,781,606
253,./images/procSPECU4.2020-02-12T02:35:09.930.fits,1992,1551
254,./images/procSPECU3.2023-10-02T00:38:20.180.fits,105,64
255,./images/procSPECU3.2020-02-29T07:17:27.530.fits,376,231
256,./images/procSPECU4.2023-09-28T01:53:36.450.fits,76,67
257,./images/procSPECU2.2023-09-03T05:33:11.340.fits,147,113
258,./images/procSPECU2.2024-10-15T02:05:08.430.fits,135,82
259,./images/procSPECU4.2024-10-17T02:07:38.000.fits,138,85
260,./images/procSPECU2.2018-12-21T01:54:45.360.fits,75,56
261,./images/procSPECU2.2020-03-02T02:35:25.520.fits,130,111
262,./images/procSPECU3.2022-12-08T02:57:25.420.fits,63,43
263,./images/procSPECU2.2023-10-14T04:06:37.450.fits,94,73
264,./images/procSPECU1.2020-03-19T08:19:37.110.fits,444,322
265,./images/procTOI-5879.01-S001-R001-C140-I+z.fits,294,235
266,./images/procSPECU4.2021-03-30T02:07:50.280.fits,412,272
267,./images/procSPECU4.2025-02-14T01:16:53.000.fits,220,162
268,./images/procSPECU2.2025-09-12T01:36:27.780.fits,1085,863
269,./images/procTOI-6008.01-S001-R001-C431-I+z.fits,1285,1050
270,./images/procSPECU3.2024-12-11T02:40:06.050.fits,62,49
271,./images/procSPECU3.2019-08-25T01:58:19.960.fits,9624,6380
272,./images/procSp1757+7042-S001-R001-C060-I+z.fits,108,109
273,./images/procSPECU2.2025-09-05T01:25:29.830.fits,1048,813
274,./images/procSPECU2.2021-05-30T07:38:57.900.fits,544,444
275,./images/procSPECU3.2024-09-09T01:38:11.460.fits,3155,2529
276,./images/procSPECU4.2021-05-12T07:34:52.740.fits,3086,2487
277,./images/procSp0320+1854-S001-R001-C102-I+z.fits,115,97
278,./images/procSPECU3.2025-06-10T01:45:29.000.fits,60,55
279,./images/procSp1444+3002-S001-R001-C414-I+z.fits,85,67
280,./images/procSPECU4.2021-05-16T07:34:55.480.fits,4736,3631
281,./images/procSPECU3.2025-06-11T07:13:21.000.fits,930,709
282,./images/procSPECU2.2025-06-11T01:41:41.940.fits,192,150
283,./images/procSPECU1.2023-06-22T08:10:11.110.fits,74,66
284,./images/procSPECU3.2020-03-18T02:16:11.900.fits,777,546
285,./images/procSPECU4.2024-04-29T06:51:46.000.fits,217,205
286,./images/procSPECU1.2025-07-09T01:48:46.310.fits,98,79
287,./images/procSPECU2.2022-03-24T02:06:17.250.fits,1465,993
288,./images/procTOI-1696.01-S001-R001-C364-I+z.fits,776,516
289,./images/procSPECU3.2025-08-05T01:53:51.000.fits,1613,1156
290,./images/procSPECU1.2019-08-09T01:14:03.100.fits,5792,5020
291,./images/procSPECU2.2025-09-10T06:47:48.260.fits,46,32
292,./images/procSPECU3.2025-03-22T01:45:59.000.fits,243,213
293,./images/procSp0435-1606-S001-R001-C138-I+z.fits,74,54
294,./images/procSPECU1.2019-08-31T23:58:12.640.fits,214,160
295,./images/procSPECU3.2025-08-10T07:47:15.000.fits,52,45
296,./images/procSPECU1.2018-12-24T07:15:19.820.fits,1288,928
297,./images/procTOI-1245.01-S001-R001-C476-I+z.fits,173,130
298,./images/procSp2138+5257-S001-R001-C142-I+z.fits,4129,3259
299,./images/procTOI-7085.01-S001-R001-C081-I+z.fits,714,747
300,./images/procSPECU2.2025-09-03T01:45:14.560.fits,975,731
301,./images/procSPECU3.2021-09-16T07:02:52.410.fits,137,92
302,./images/procSPECU2.2019-07-06T02:36:49.330.fits,4642,3888
303,./images/procSPECU2.2025-05-30T06:02:43.350.fits,2818,2057
304,./images/procSPECU3.2025-04-11T08:44:22.000.fits,160,142
305,./images/procSPECU1.2024-01-25T02:47:25.450.fits,1041,772
306,./images/procSPECU1.2022-12-27T01:47:06.160.fits,86,66
307,./images/procSp1837+2030-S001-R001-C210-I+z.fits,2263,1719
308,./images/procSPECU1.2024-12-31T02:44:21.870.fits,86,73
309,./images/procSPECU3.2020-02-17T07:16:53.270.fits,216,117
310,./images/procSPECU2.2023-07-28T08:45:58.490.fits,56,46
311,./images/procSPECU4.2024-09-29T04:55:09.000.fits,99,70
312,./images/procSPECU1.2025-02-27T03:17:30.070.fits,54,45
313,./images/procSPECU3.2020-03-01T02:39:31.150.fits,2903,1775
314,./images/procSPECU1.2019-08-26T08:02:27.280.fits,182,142
315,./images/procSp1845-2535-S001-R001-C269-I+z.fits,4715,3816
316,./images/procSPECU3.2025-05-06T07:15:37.000.fits,1233,945
317,./images/procSPECU2.2022-08-13T03:00:31.720.fits,368,287
318,./images/procSPECU3.2024-11-16T02:24:05.280.fits,72,49
319,./images/procSPECU2.2023-06-16T00:48:33.140.fits,340,272
320,./images/procSPECU2.2025-09-11T07:39:02.050.fits,91,62
321,./images/procSPECU4.2023-05-23T01:40:01.900.fits,588,391
322,./images/procSPECU3.2021-02-25T02:50:03.160.fits,209,170
323,./images/procSPECU4.2023-11-14T02:05:22.370.fits,131,100
324,./images/procSPECU3.2025-08-04T00:01:26.000.fits,573,443
325,./images/procSPECU3.2023-09-22T01:52:29.820.fits,364,281
326,./images/procSPECU3.2020-11-02T02:00:27.840.fits,32,17
327,./images/procSPECU3.2023-05-12T02:57:39.340.fits,247,172
328,./images/procSPECU2.2023-10-03T06:58:13.930.fits,119,101
329,./images/procSPECU1.2024-12-01T06:55:29.230.fits,262,194
